Z,N,A,delta_E,movement,stable,boundary_hit,success
15,26,41,253.65445681029814,9.825177149645105,True,True,False
15,27,42,251.8968768030827,7.480716673491354,True,True,False
15,28,43,258.8728939488974,12.500313083010472,True,True,False
15,29,44,287.7455324911534,7.253439292291956,True,True,False
15,30,45,296.11180823326504,8.245890070172482,True,True,False
15,31,46,310.0599061178,8.365934545354659,True,True,False
15,32,47,340.667540759503,5.806998298205512,True,True,False
15,33,48,287.66118511070454,9.990084095840919,True,True,False
15,34,49,289.2518822455495,10.628149669981326,True,True,False
15,35,50,310.64390444266246,8.23701100453031,True,True,False
16,16,32,201.51250811894897,10.124591339681132,True,True,False
15,36,51,324.90462710483916,8.89245933877449,True,True,False
15,37,52,326.8885362413457,7.939384747741753,True,True,False
16,17,33,224.8801182233783,9.098904231126372,True,True,False
16,18,34,227.5996728638147,10.256896589920498,True,True,False
15,38,53,343.3004565918636,9.591208552918273,True,True,False
15,39,54,361.87099699208557,8.432142826853092,True,True,False
15,40,55,344.63805876886545,9.54520897379565,True,True,False
16,19,35,230.55696750530478,7.255612929362385,True,True,False
15,41,56,365.2607315262976,9.168402015862954,True,True,False
16,20,36,223.65272297307456,9.708599520704304,True,True,False
16,21,37,239.76375354817355,9.375542328469624,True,True,False
15,42,57,358.02153089725834,7.792830263764859,True,True,False
16,22,38,241.56960532967423,9.486715569750645,True,True,False
15,43,58,359.07681934585344,7.324763484796856,True,True,False
16,23,39,274.1199082163221,8.202578360206012,True,True,False
16,24,40,254.10643444066955,8.87585337510779,True,True,False
15,44,59,410.4441242145476,5.419392387992601,True,True,False
16,25,41,272.22957401735766,10.554294871075207,True,True,False
16,26,42,288.0862577287953,8.991880070958077,True,True,False
15,45,60,389.78627183872595,8.470958177276547,True,True,False
16,27,43,288.57311260891584,9.157345087124598,True,True,False
16,28,44,270.94330357443323,8.17314991189218,True,True,False
16,29,45,286.1876976186322,8.01850547624271,True,True,False
16,30,46,313.17236873209185,7.712211391444168,True,True,False
16,31,47,290.2667200435899,6.523714411430951,True,True,False
16,32,48,304.95961259357136,9.179133253361877,True,True,False
16,33,49,324.50283094196493,7.737187247497784,True,True,False
16,34,50,322.3021325775262,9.361780386800843,True,True,False
16,35,51,295.4106858880223,9.255428229012283,True,True,False
16,36,52,322.24484068456877,9.23960513887349,True,True,False
16,37,53,329.23281661371584,9.589099618047168,True,True,False
16,38,54,340.70908711727316,7.325934781941189,True,True,False
17,17,34,222.7411062821684,7.343424034491485,True,True,False
16,39,55,348.01608855345694,8.742218042333418,True,True,False
17,18,35,241.052337334404,6.419153703140878,True,True,False
16,40,56,375.6381178500051,7.239150839339728,True,True,False
17,19,36,260.0708309587608,8.852710495451506,True,True,False
16,41,57,350.66196516069976,9.266731702161616,True,True,False
17,21,38,250.8822903363871,7.007847847135937,True,True,True
17,20,37,246.84935705602038,7.964427666185403,True,True,False
16,42,58,407.972023554099,5.793357305512145,True,True,False
16,43,59,410.3708995163579,6.509421504573119,True,True,False
16,44,60,388.3729483798925,8.25400785708898,True,True,False
17,22,39,252.12984579234399,8.178917926194803,True,True,True
17,23,40,250.32300301798023,9.358644809415898,True,True,False
16,45,61,442.12729190286336,3.8459584148774337,True,False,False
17,24,41,279.23017545379116,8.45042546344533,True,True,False
16,46,62,413.08973089830033,6.757332028099219,True,True,False
17,25,42,286.76608171541375,8.531634264961385,True,True,False
17,26,43,260.5498634067226,10.81429596220034,True,True,False
16,47,63,387.1841604223446,8.757763252477634,True,True,False
17,27,44,279.06645858542106,10.249891912162918,True,True,False
16,48,64,427.8389585797231,7.358602524697329,True,True,False
17,28,45,272.7287542797276,8.9318306627279,True,True,False
17,29,46,276.06409355428696,10.74646533375309,True,True,False
17,30,47,303.2270278349679,9.714481607544013,True,True,False
17,31,48,333.94840323177414,7.618296316720635,True,True,False
17,32,49,291.91425911479746,8.68134443202213,True,True,False
17,33,50,320.8002308011273,9.362371207577766,True,True,False
17,34,51,363.73001590853164,6.9438779424701735,True,True,False
17,35,52,353.55267027328955,6.687631551924312,True,True,False
17,36,53,329.5178607369853,8.804846694634513,True,True,False
17,37,54,354.4777125587134,9.09572238995438,True,True,False
17,38,55,321.4185132738312,9.280401575483706,True,True,False
17,39,56,396.2956690122737,8.489390121720078,True,True,False
18,19,37,216.2441665753031,9.911916456158139,True,True,True
17,40,57,371.5757161553229,7.241238497893953,True,True,False
17,41,58,391.2025395137607,6.127051075524945,True,False,False
18,18,36,237.43691637095253,9.453203039890635,True,True,False
17,42,59,394.3645458205174,7.463285748733285,True,True,False
17,43,60,394.89267299249695,6.909402276575508,True,True,False
17,44,61,406.28064482286936,7.6482115483749045,True,True,False
18,20,38,260.5362941364983,10.11292447823547,True,True,False
17,45,62,408.1375461895841,8.164199352462711,True,True,False
18,21,39,276.7116014955427,7.382308777170907,True,True,False
18,22,40,251.99671384572503,14.064495930110036,True,True,False
17,46,63,413.6155389218584,7.472561252131145,True,True,False
18,23,41,274.56836388017473,8.13221008928783,True,True,False
17,47,64,397.26593852312,7.072451165340672,True,True,False
18,24,42,274.06917645072826,8.129661270224707,True,True,False
17,48,65,383.35058958842274,9.220431320348728,True,True,False
18,25,43,279.2972377448423,9.379205121367653,True,True,False
18,26,44,284.61596434781677,11.043953879318375,True,True,False
18,27,45,311.83308314439637,8.774360976637604,True,True,False
17,49,66,394.0584984693742,10.845220792636734,True,True,False
17,50,67,419.47065584784286,6.96029485513412,True,True,False
18,28,46,278.70903891686976,8.386524056756896,True,True,False
18,29,47,283.0053024492008,8.026360295181206,True,True,False
17,51,68,412.30212243550704,7.492045813892811,True,True,False
18,30,48,314.6282739732269,8.480115647465471,True,True,False
18,31,49,288.55880960154536,9.371718548057531,True,True,False
18,32,50,336.70433804623826,8.773531708349726,True,True,False
18,33,51,324.30394350687493,8.680166246370836,True,True,False
18,34,52,307.8198480702231,8.663916924225058,True,True,False
18,35,53,346.00677880951116,8.255312981069197,True,True,False
18,36,54,323.87386334203984,8.332100028343284,True,True,False
18,37,55,337.25155495891886,11.44014737070943,True,True,False
18,38,56,348.7660274386508,10.423176180097743,True,True,False
18,39,57,398.23615608941327,7.423339513297499,True,True,False
18,40,58,365.6957297170411,7.513790140169443,True,True,False
18,41,59,394.96578797300026,7.975814642063794,True,True,False
18,42,60,373.3878716017389,8.435391402787891,True,True,False
18,43,61,377.67555373298455,7.65479378931534,True,True,False
18,44,62,394.8224869808291,8.51293591591754,True,True,False
18,45,63,407.5107047111669,5.868935426704981,True,True,False
19,19,38,248.5731554432714,8.158171346447602,True,True,False
18,46,64,382.2261406932921,9.58212415556274,True,True,False
19,20,39,243.47942191594848,9.804442569723324,True,True,False
19,21,40,247.2612548324214,11.090570432159028,True,True,True
18,47,65,401.83799360815465,8.852296363763633,True,True,False
18,48,66,381.1443471059756,9.869203796781225,True,True,False
19,22,41,275.9664782464861,7.645778618308215,True,True,False
18,49,67,444.4854984223748,7.294521900502037,True,True,False
19,23,42,292.0944332613217,8.950636399018212,True,True,False
19,24,43,282.39340897387956,8.39211064500707,True,True,False
18,50,68,426.3534475450215,8.264204194622259,True,True,False
